id;nom;n;k;amax;NbRun;nbLevel;ite0_moyenne;ite0_variance;score0_moyenne;score0_variance;CPU0_moyenne;CPU0_variance;start;ite_moyenne;ite_variance;score_moyenne;score_variance;CPU_moyenne;CPU_variance;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.52348;0.00865832;0;28.6;53.28;2255414.80999287;12444575448.6135;0.52348;0.00865832;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.52348;0.00865832;1;33.61;51.9579;2330196.8977973;16960222011.8171;0.51716;0.00563482;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.52348;0.00865832;2;43.51;114.01;2442789.6235616;33974462427.0519;0.571333;0.00987186;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.52348;0.00865832;3;49.33;146.281;2584417.01746;43860540939.0732;0.586124;0.00764451;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.52348;0.00865832;4;56.52;147.01;2887453.06759188;108503424752.01;0.614235;0.00907002;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.52348;0.00865832;5;62.31;151.054;2984632.02884222;114227837847.949;0.646597;0.00779386;
8;segmentation;2100;70;210;100;4;27.98;60.1796;2071452.21280112;20795626827.1201;0.579103;0.0113425;0;27.98;60.1796;2071452.21280112;20795626827.1201;0.579103;0.0113425;
8;segmentation;2100;70;210;100;4;27.98;60.1796;2071452.21280112;20795626827.1201;0.579103;0.0113425;1;35.17;103.081;2124779.42259013;26513478911.8196;0.594174;0.00947513;
8;segmentation;2100;70;210;100;4;27.98;60.1796;2071452.21280112;20795626827.1201;0.579103;0.0113425;2;42.62;119.656;2203903.78826006;32361338628.2385;0.628486;0.012097;
8;segmentation;2100;70;210;100;4;27.98;60.1796;2071452.21280112;20795626827.1201;0.579103;0.0113425;3;54.08;126.314;2369551.82263849;56554034073.0905;0.6972;0.00978975;
8;segmentation;2100;70;210;100;4;27.98;60.1796;2071452.21280112;20795626827.1201;0.579103;0.0113425;4;58.38;169.936;2447217.8718389;58011118073.0207;0.721931;0.0115991;
8;segmentation;2100;80;210;100;3;27.04;45.3984;1890285.67693704;29918468686.6809;0.626646;0.0108767;0;27.04;45.3984;1890285.67693704;29918468686.6809;0.626646;0.0108767;
8;segmentation;2100;80;210;100;3;27.04;45.3984;1890285.67693704;29918468686.6809;0.626646;0.0108767;1;36.53;101.689;1908899.24343908;30368863793.5895;0.677289;0.0114652;
8;segmentation;2100;80;210;100;3;27.04;45.3984;1890285.67693704;29918468686.6809;0.626646;0.0108767;2;43.78;117.932;2030675.43253043;46194530228.6083;0.70115;0.0127772;
8;segmentation;2100;80;210;100;3;27.04;45.3984;1890285.67693704;29918468686.6809;0.626646;0.0108767;3;51.32;163.838;2065472.4693516;61952267130.9606;0.750903;0.0129763;
8;segmentation;2100;90;210;100;2;29.44;51.1864;1644962.29848127;26344965689.5629;0.734102;0.0116607;0;29.44;51.1864;1644962.29848127;26344965689.5629;0.734102;0.0116607;
8;segmentation;2100;90;210;100;2;29.44;51.1864;1644962.29848127;26344965689.5629;0.734102;0.0116607;1;37.55;89.1675;1693223.21253745;29503170568.6342;0.749463;0.0111075;
8;segmentation;2100;90;210;100;2;29.44;51.1864;1644962.29848127;26344965689.5629;0.734102;0.0116607;2;43.5;126.91;1732697.39192936;27743838341.1314;0.794105;0.0118828;
8;segmentation;2100;100;210;100;1;29.42;66.4636;1504407.98951854;23639428049.1644;0.790725;0.0193435;0;29.42;66.4636;1504407.98951854;23639428049.1644;0.790725;0.0193435;
8;segmentation;2100;100;210;100;1;29.42;66.4636;1504407.98951854;23639428049.1644;0.790725;0.0193435;1;36.24;71.4024;1531509.44877395;25165971186.5945;0.837258;0.0165897;
