id;nom;n;k;amax;NbRun;nbLevel;ite0_moyenne;ite0_variance;score0_moyenne;score0_variance;CPU0_moyenne;CPU0_variance;start;ite_moyenne;ite_variance;score_moyenne;score_variance;CPU_moyenne;CPU_variance;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;0;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;1;29.44;87.3664;9825597.05142917;131220676367.517;0.150509;0.00217388;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;2;34.67;162.261;9802567.37446234;150031571253.143;0.164029;0.004002;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;3;39.69;130.214;9848330.13895474;137563642630.281;0.1737;0.00236874;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;4;42.99;135.59;9884687.89001477;487457799193.167;0.17491;0.00197402;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;5;45.75;109.327;9793468.96936796;161270826421.325;0.17804;0.0015236;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;6;52.58;171.744;9747302.01245371;139748448041.456;0.193391;0.00233016;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;7;56.99;196.33;9772771.44498283;153382196640.01;0.198291;0.00227488;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;8;59.73;194.537;9766982.21358762;149275476011.928;0.197001;0.00199602;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;9;64.3;154.61;9792067.68115534;139409118773.02;0.196281;0.00132659;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140948;0.00237023;10;66.86;203.56;9748320.7554975;134146391523.618;0.203682;0.00207154;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;0;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;1;33.49;83.2099;5180947.38128503;141642079739.369;0.254985;0.0034229;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;2;38.07;160.025;5181927.93941549;151012824757.925;0.268065;0.00617225;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;3;46.18;121.548;5216876.97353512;197735451606.496;0.294367;0.00364124;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;4;51.22;162.232;5101493.73344003;136844369467.293;0.304647;0.00472765;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;5;55.28;200.902;5127816.33999186;151884782156.954;0.311668;0.00501862;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;6;58.61;149.838;5124738.9691006;146185815731.702;0.310078;0.00339234;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;7;63.29;184.246;5124704.95756631;154483498517.84;0.316978;0.00351044;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;8;69.06;174.836;5027793.70759461;106099951104.129;0.326109;0.0036493;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.230593;0.00378104;9;70.81;141.254;5105320.86884223;164502968935.157;0.327009;0.00238576;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;0;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;1;33.54;75.7284;3575028.12481639;15639527180.903;0.329169;0.00424737;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;2;38.93;95.9251;3604328.78775916;23829812988.073;0.34256;0.0042829;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;3;45.14;98.6604;3587006.46600629;12335037853.4884;0.364031;0.0037211;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;4;49.62;121.916;3611339.92650906;23233859170.9934;0.370481;0.00442883;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;5;56.08;143.934;3587677.49548876;7714733193.80976;0.391362;0.0052332;
